country,region,population,electoral_comp,globalization,monarchy,presidential,democracy,gdp_per_capita,rain_avg,temp_avg,climate_laws_policies,co2_per_capita,co2_growth_rate,ag_land_pct,forest_land_pct,nat_disaster_damage,nat_disaster_affected,nat_disaster_deaths,nat_disaster_n
Afghanistan,South Asia,33753499,2,38.153248,0,1,0,1928,32.4333333333333,13.85,3,0.262555710891417,0,58.0699996948242,1.85000002384186,3000,26575,446,7
Albania,Eastern Europe/Former USSR,2880703,3,67.743652,0,0,1,10032,87.3666666666667,12.4583333333333,0,1.60264803417777,34.8950889226185,42.8600006103516,28.7999992370605,0,42300,1,3
Algeria,North Africa and Middle East,39543154,2,55.993813,0,1,0,14004,6.25,23.4166666666667,0,3.85455657561633,33.910971601414,17.4099998474121,0.819999992847443,0,35000,12,2
Angola,Sub-Saharan Africa,28127721,2,44.740986,0,1,0,8689,79.5,21.7666666666667,1,1.24024546214599,26.6688485227415,44.3499984741211,55.6500015258789,0,3000,459,4
Antigua and Barbuda,The Caribbean,89941,3,56.4366,1,0,1,NA,130.841666666667,26.9416666666667,3,5.83954641643332,45.6655184981472,20.4500007629395,19.2000007629395,NA,NA,NA,NA
Azerbaijan,Eastern Europe/Former USSR,9649341,2,62.04681,0,1,0,17460,36.8583333333333,13.508333333333301,0,3.89640608617728,50.1421399331935,57.7000007629395,13.039999961853,NA,NA,NA,NA
Argentina,Latin America,43131966,3,65.868263,0,1,1,19502,49.9,14.9083333333333,1,4.6640107478523,47.2607869729658,54.3400001525879,10.6300001144409,17200,145633,19,5
Australia,"Western Europe, North America, Australia, New Zealand",23815995,3,80.117859,1,0,1,48357,37.2583333333333,22.2416666666667,3,15.3397835782213,58.7989358813082,45.310001373291,17.3199996948242,2732000,1990,16,8
Austria,"Western Europe, North America, Australia, New Zealand",8642699,3,88.051277,0,0,1,41294,95.7,8.1,0,7.08859223258845,74.9181704198118,32.939998626709,47.0299987792969,NA,NA,NA,NA
Bahamas,The Caribbean,392697,3,54.103226,1,0,1,NA,106.808333333333,26.0083333333333,1,5.38967841242524,27.0986893145326,1.39999997615814,50.939998626709,90000,6710,33,1
Bahrain,North Africa and Middle East,1362142,2,68.155579,1,0,0,40483,4.45,28.8583333333333,0,23.977086432856,45.6287217437652,11.0500001907349,0.769999980926514,NA,NA,NA,NA
Bangladesh,South Asia,157830000,2,50.178932,0,0,0,3402,211.866666666667,25.2583333333333,1,0.518850858828864,22.0499686682248,70.3899993896484,14.4700002670288,84000,4052250,159,8
Armenia,Eastern Europe/Former USSR,2878595,3,66.349289,0,1,1,10042,48.3916666666667,7.725,0,1.64200409290141,40.8817368593298,58.8899993896484,11.5699996948242,NA,NA,NA,NA
Barbados,The Caribbean,278083,3,60.085197,1,0,1,11849,130.033333333333,27.0666666666667,0,4.39540312066283,61.1082985026283,25.5799999237061,14.6499996185303,NA,NA,NA,NA
Belgium,"Western Europe, North America, Australia, New Zealand",11274196,3,89.801727,1,0,1,38569,69.3583333333333,11.0666666666667,0,8.81183580629608,63.4603712400321,43.8600006103516,22.7600002288818,0,0,410,1
Bhutan,South Asia,743274,3,40.116413,1,0,1,NA,148.591666666667,11.9,1,1.46604229291802,0,13.789999961853,71.2300033569336,NA,NA,NA,NA
Bolivia,Latin America,11090085,3,58.836266,0,1,1,6200,85.7583333333333,21.4416666666667,2,1.84670253998949,28.3176037497533,34.7700004577637,48.0299987792969,0,4000,0,1
Botswana,Sub-Saharan Africa,2305171,3,55.808731,0,1,1,14805,28.725,22.7916666666667,0,2.56084595957214,25.9885450216386,45.6300010681152,27.9599990844727,44000,0,0,1
Brazil,Latin America,205188205,3,63.545547,0,1,1,15826,135.075,26.0583333333333,2,2.46678804837845,32.027831058412,28.1700000762939,60.2900009155273,4000,309450,28,6
Belize,The Caribbean,359871,3,54.500587,1,0,1,NA,153.941666666667,26.125,0,1.60524529483311,44.4901354827982,7.44999980926514,58.4300003051758,0,20000,0,1
Solomon Islands,The Pacific,612660,3,37.565186,1,0,1,NA,246.841666666667,25.575,0,0.31616366946435,45.2241797501097,4.03999996185303,90.2699966430664,2000,44096,9,3
